year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1976,0.0175175648835,0.0426093488971,0.0594442002019,0.0147913768978,0.0957262284179,0.00501718776899,0.0442425142492,0.0866857189219,0.0234759509743,0.405892256648,0.000677824203606,0.203919827936,810
1977,0.0139031788195,0.0324320873377,0.0690817124265,0.0136145262919,0.096335023073,0.00704844354718,0.0559016989383,0.1128025223,0.0302091474707,0.349299226611,0.00109179602507,0.218280637159,920
1978,0.0237874486108,0.0413665129087,0.0806127154695,0.0092765598056,0.0887825281545,0.0112707734872,0.0561417798711,0.119327829451,0.0240413794213,0.308833428841,0.00107844322767,0.235480600752,1030
1979,0.0244551906478,0.0475884918591,0.0953718418524,0.00905985289908,0.0816962260698,0.0203149242378,0.0663343353369,0.141322182087,0.0245238606317,0.256507436505,0.00104415711481,0.231781500759,1090
1980,0.0360425546781,0.0451328799451,0.096060431987,0.0152647909677,0.0980951924057,0.0293779388462,0.0512858059207,0.121839944424,0.0272843595497,0.265289323271,0.000793916309259,0.213532861695,1210
1981,0.0403916967639,0.0517595243313,0.0953806974851,0.0198724014966,0.110994971398,0.02624504673,0.0465263328211,0.102349351881,0.0445643941275,0.262220878345,0.00105506079532,0.198639643825,1370
1982,0.0408196960023,0.0465452571791,0.109461617818,0.0188245652349,0.109893816142,0.0243118814849,0.0442004763681,0.100904966708,0.0504649354013,0.256292275655,0.00298138546329,0.195299126543,1460
1983,0.034227653068,0.046616201592,0.105381284208,0.0241333578355,0.113047286283,0.058491566027,0.0653326466397,0.0973742342171,0.0482795182443,0.227038485663,0.00337722745521,0.176700538767,1620
1984,0.027742371597,0.0429018308742,0.118607912004,0.0240188544269,0.0993708795457,0.0645598316228,0.0698475510232,0.110273853209,0.044644052659,0.219821204773,0.0037286634877,0.174482994778,1390
1985,0.0346606878615,0.0410921995373,0.102397792436,0.021863641937,0.100999634077,0.0617618928237,0.0832355956739,0.100122213046,0.0483219167614,0.230414432879,0.0029037948961,0.172226198071,1530
1986,0.0453009978762,0.0473985064565,0.118800309627,0.0150208111929,0.0832747633252,0.0212001356696,0.076798128379,0.106980681309,0.0531124109369,0.237186910977,0.00364712374539,0.191279220505,1310
1987,0.0416004532195,0.0435736688047,0.104649665569,0.0142473409068,0.0839236881185,0.0213492606866,0.0830552979067,0.109286115296,0.0457092700151,0.230726202102,0.0102299557875,0.211649081587,1480
1988,0.0308690277796,0.0433135028282,0.140420114579,0.0188201239813,0.0785163051849,0.0269241777276,0.0763789368752,0.0998509376177,0.0356799733233,0.217028621392,0.0143882894357,0.217809989275,1380
1989,0.0210506581396,0.0391195015479,0.168293775923,0.0145687804588,0.0721387975667,0.0308650927762,0.0646730889877,0.100016468544,0.0286774261241,0.234149290792,0.0133779502882,0.213069168851,1680
1990,0.0210571988589,0.033271714202,0.181447570783,0.0153168971774,0.0771608213549,0.0419879979901,0.0636632489987,0.0954713834695,0.0261118216316,0.227597457684,0.0123677694377,0.204546118413,1530
1991,0.0222757550435,0.0390541569706,0.150390117365,0.0134576900582,0.070179375666,0.0352673424231,0.0586237939605,0.107692320508,0.0320117866838,0.246820405625,0.0121348147805,0.212092440916,1480
1992,0.0215086361847,0.0460785916502,0.105466209113,0.0155318867365,0.0689058799979,0.0493023433072,0.0645384879366,0.101034480801,0.0304025315527,0.254369887609,0.0205033437553,0.222357721356,1260
1993,0.0201331561727,0.0477587973846,0.103563430392,0.0109270960187,0.071719640653,0.046892490494,0.066625795096,0.100641570455,0.0314572046519,0.273323794231,0.0248256571305,0.20213136732,1450
1994,0.0196678367791,0.0358010066968,0.125452222578,0.00784541659813,0.0814559121533,0.0569501185918,0.0668651232319,0.0918387596101,0.0239054047289,0.256686201619,0.0271751011386,0.206356896274,1380
1995,0.0502026489373,0.0258233523952,0.114793305031,0.0105816670803,0.0854741485276,0.054236269753,0.0618797982031,0.106948829903,0.0381493219092,0.235619166361,0.0255827262461,0.190708765652,1490
1996,0.0574922726916,0.0240195358736,0.101180658356,0.0124521064252,0.0676840278462,0.0506193538976,0.0532161570275,0.128506913361,0.0408233016698,0.233741598211,0.0200452624886,0.210218812152,1410
1997,0.0575878749867,0.0303874820823,0.0838413934457,0.0153058142486,0.0974300662217,0.0485703408325,0.0486688232068,0.15195831628,0.0439512238001,0.218313968628,0.0156440983787,0.188340597888,1520
1998,0.0387062216197,0.0345796793466,0.0856406087503,0.0132728119599,0.10841342498,0.0591806360658,0.0500555159091,0.163167480564,0.0318430395919,0.206719486031,0.0221574906953,0.186263604487,1330
1999,0.0402958705577,0.0292705023513,0.0967387411656,0.014304467661,0.140558938415,0.0681645161386,0.0652825052335,0.162773096778,0.0341033760378,0.167932646577,0.0217563225871,0.158819016496,1320
2000,0.0404746507791,0.0324748502996,0.105741950879,0.016272111578,0.116517520604,0.0606389589561,0.0767785897329,0.181188471872,0.0308812755961,0.154442463629,0.031798555436,0.152790600639,1380
2001,0.0415279501731,0.0268958646671,0.134223695657,0.0188087364221,0.119695704933,0.057847007929,0.0710995220781,0.167798115482,0.0309890619462,0.16082146329,0.0230740538876,0.147218823535,1480
2002,0.0359719822278,0.0288939983295,0.118563159472,0.0228428658173,0.123739171623,0.074784233119,0.058865661263,0.152291078679,0.0339094531762,0.139422760016,0.0668808444844,0.143834791792,1510
2003,0.0485693833632,0.0275990202262,0.100941941886,0.0257347366594,0.12376999247,0.113793993215,0.0505263256302,0.113899889312,0.0333917744722,0.14636047181,0.072931738666,0.14248073229,1440
