topic,year,size,ps,dem,pdr
17,1947,0.409477991612,0.409477991612,0.0,0.0
17,1948,0.467771341601,0.467771341601,0.0,0.0
17,1949,0.467374168997,0.467374168997,0.0,0.0
17,1950,0.731693935162,0.731693935162,0.0,0.0
17,1951,1.10605231622,1.10605231622,0.0,0.0
17,1952,0.243044059737,0.243044059737,0.0,0.0
17,1953,0.295443736098,0.295443736098,0.0,0.0
17,1954,0.367950838077,0.367950838077,0.0,0.0
17,1955,0.60683205269,0.60683205269,0.0,0.0
17,1956,0.106600677978,0.106600677978,0.0,0.0
17,1957,0.147931436834,0.147931436834,0.0,0.0
17,1958,0.235662324497,0.235662324497,0.0,0.0
17,1959,0.191773690722,0.191773690722,0.0,0.0
17,1960,0.211986694182,0.211986694182,0.0,0.0
17,1961,0.314740252152,0.314740252152,0.0,0.0
17,1962,0.0678358528078,0.0678358528078,0.0,0.0
17,1963,0.380086321209,0.380086321209,0.0,0.0
17,1964,1.27143484599,0.788143502243,0.483291343745,0.0
17,1965,0.794321280818,0.401385491004,0.392935789814,0.0
17,1966,0.887307740035,0.349985814986,0.53732192505,0.0
17,1967,1.17820620289,0.32493790496,0.853268297933,0.0
17,1968,0.763655239685,0.272782537676,0.490872702008,0.0
17,1969,0.441255097438,0.341580570225,0.0996745272139,0.0
17,1970,1.48148961879,0.613943377149,0.867546241639,0.0
17,1971,0.963896200424,0.287667874566,0.676228325858,0.0
17,1972,1.69306040096,0.468629605794,1.22443079517,0.0
17,1973,1.00274256119,0.863936049279,0.13880651191,0.0
17,1974,0.73985658917,0.300638649323,0.439217939848,0.0
17,1975,2.17047094527,1.21826886054,0.830165206465,0.122036878265
17,1976,2.03192763424,0.444442355632,0.645828562446,0.941656716161
17,1977,1.77783277787,0.27656983264,1.07693908331,0.424323861923
17,1978,2.1989308963,1.03962556817,0.213626057618,0.945679270513
17,1979,1.84295721457,0.782749422635,0.269514025243,0.790693766691
17,1980,2.24538117146,0.789113393922,0.988772608148,0.467495169393
17,1981,2.94705969124,0.26048221836,1.4061200493,1.28045742359
17,1982,4.95890449921,0.75452820935,0.903454200453,3.30092208941
17,1983,3.23051676105,0.553450949049,1.14950830758,1.52755750442
17,1984,4.43102341553,1.04239399069,1.62525445679,1.76337496805
17,1985,4.25859577066,0.681394750867,2.29760368993,1.27959732987
17,1986,3.88532738087,0.553345384519,0.811974984616,2.52000701173
17,1987,3.56829085328,0.603053770026,1.5105439805,1.45469310275
17,1988,5.73660418412,0.504400676829,3.75302276904,1.47918073826
17,1989,5.29401827898,0.481808549722,3.80393818211,1.00827154714
17,1990,5.09069425069,1.45875556255,2.63834562545,0.993593062685
17,1991,4.83580033581,2.33751813326,1.8189779771,0.679304225449
17,1992,5.53317310142,1.25335490861,2.57293109977,1.70688709304
17,1993,5.53983258689,1.49901186271,3.58808444458,0.452736279612
17,1994,4.33399031601,1.4490229358,1.59013473577,1.29483264444
17,1995,8.42875231642,1.69023737362,5.98745560908,0.751059333715
17,1996,4.48120972128,0.272361104737,2.27587342301,1.93297519354
17,1997,4.54015723577,1.35023693622,1.88659989389,1.30332040565
17,1998,9.40698635567,1.29164156243,6.85335613249,1.26198866074
17,1999,5.4213517836,1.30187367384,3.69501068239,0.424467427364
17,2000,5.74108027884,1.65473874861,2.12401558345,1.96232594678
17,2001,3.1204827077,0.745095319296,1.5151989316,0.860188456799
17,2002,4.66577448144,1.30589833717,2.62102896369,0.738847180568
17,2003,4.77184621406,0.534311198033,2.52938532862,1.70814968741
17,2004,4.72401503279,0.635897325085,3.14103670461,0.947081003094
17,2005,4.62371567586,1.4467799727,2.37127223467,0.805663468492
17,2006,4.26977221413,0.149842112171,3.22567225209,0.894257849868
17,2007,5.84969056306,1.21468324562,3.71150465074,0.923502666695
17,2008,4.4597122129,0.846154834344,2.24622920704,1.36732817152
17,2009,4.89039367611,1.44959414381,2.44887770581,0.991921826487
17,2010,6.14620339616,1.09266064197,3.53656772473,1.51697502945
