topic,year,size,ps,dem,pdr
30,1947,0.0195484415327,0.0195484415327,0.0,0.0
30,1948,0.057817724287,0.057817724287,0.0,0.0
30,1949,0.0323140696191,0.0323140696191,0.0,0.0
30,1950,0.0436877209987,0.0436877209987,0.0,0.0
30,1951,0.0126301603122,0.0126301603122,0.0,0.0
30,1952,0.0732693068755,0.0732693068755,0.0,0.0
30,1953,0.0342689713219,0.0342689713219,0.0,0.0
30,1954,0.0576049796721,0.0576049796721,0.0,0.0
30,1955,0.0241751625722,0.0241751625722,0.0,0.0
30,1956,0.0240425971314,0.0240425971314,0.0,0.0
30,1957,0.00803494200891,0.00803494200891,0.0,0.0
30,1958,0.0115992595778,0.0115992595778,0.0,0.0
30,1959,0.0302771120588,0.0302771120588,0.0,0.0
30,1960,0.0128342514915,0.0128342514915,0.0,0.0
30,1961,0.0345420511016,0.0345420511016,0.0,0.0
30,1962,0.0295664739984,0.0295664739984,0.0,0.0
30,1963,0.0255164231165,0.0255164231165,0.0,0.0
30,1964,0.0318112146356,0.0149347086818,0.0168765059538,0.0
30,1965,0.0162881171172,0.00475728381294,0.0115308333043,0.0
30,1966,0.0202929772534,0.00544203096429,0.0148509462891,0.0
30,1967,0.0230963349706,0.00537408406182,0.0177222509088,0.0
30,1968,0.0953711189887,0.00387193250634,0.0914991864824,0.0
30,1969,0.0186009875063,0.0149184240589,0.00368256344738,0.0
30,1970,0.0376700594718,0.0243512932844,0.0133187661874,0.0
30,1971,0.0166023078185,0.00879461067528,0.00780769714321,0.0
30,1972,0.0190930479099,0.00906751241088,0.010025535499,0.0
30,1973,0.020190746658,0.00721045095544,0.0129802957025,0.0
30,1974,0.0314518244859,0.0154101296081,0.0160416948778,0.0
30,1975,0.0608674608005,0.00225039905235,0.00826112018446,0.0503559415637
30,1976,0.0779763704654,0.0145906045329,0.00768378402939,0.0557019819031
30,1977,0.0962522118281,0.00472126904601,0.0168798779775,0.0746510648046
30,1978,0.0435421586751,0.00505492613642,0.00594976056184,0.0325374719768
30,1979,0.0756511389038,0.00797331175467,0.00256974986374,0.0651080772854
30,1980,0.0648854445831,0.00489472942807,0.00282134949779,0.0571693656572
30,1981,0.0665372869672,0.00146565211174,0.00407355364203,0.0609980812134
30,1982,0.0751696952185,0.000396495247028,0.00460765205575,0.0701655479157
30,1983,0.0687104392282,0.000581863610404,0.00295943838972,0.0651691372281
30,1984,0.046138242968,0.000918461736706,0.00234992776074,0.0428698534705
30,1985,0.0650199137814,0.00115051207967,0.0059743962826,0.0578950054191
30,1986,0.0586324845995,0.000380792026454,0.00889298696705,0.049358705606
30,1987,0.0351600146329,0.00149506103929,0.00109253946871,0.0325724141249
30,1988,0.0595076619988,0.00378006955623,0.00747577196889,0.0482518204737
30,1989,0.0619305524555,0.000408464670439,0.00801658682406,0.053505500961
30,1990,0.0716493259568,0.00522974587229,0.00235143158439,0.0640681485001
30,1991,0.061924510415,0.0118161803619,0.00180223628417,0.0483060937689
30,1992,0.0938227696261,0.00137688240111,0.00583290521909,0.0866129820059
30,1993,0.0959448531076,0.00345319517628,0.0128008764584,0.079690781473
30,1994,0.10282609452,0.00129588055102,0.000953642722914,0.100576571246
30,1995,0.0702345582482,0.000644297624085,0.00601399277527,0.0635762678489
30,1996,0.0703374741509,0.00845827796974,0.00674615352907,0.0551330426521
30,1997,0.0836872051347,0.0055129833916,0.00171656909776,0.0764576526454
30,1998,0.0499686431718,0.00145339796104,0.00743255591764,0.0410826892931
30,1999,0.0347755878274,0.0024832434197,0.00342211397939,0.0288702304283
30,2000,0.0368654707778,0.0064285093081,0.00394096825354,0.0264959932162
30,2001,0.043487609417,0.002171213982,0.00261072798388,0.0387056674511
30,2002,0.0465574390105,0.00685768763388,0.00573233845769,0.0339674129189
30,2003,0.038657726013,0.000544172652243,0.0039807501318,0.034132803229
30,2004,0.0515343800134,0.00491629419327,0.00249770523874,0.0441203805814
30,2005,0.0436089033039,0.0012358282917,0.00253769701432,0.0398353779979
30,2006,0.0538221946234,0.00193736603099,0.00321396459375,0.0486708639987
30,2007,0.0322277399817,0.000588071153179,0.00499286109911,0.0266468077294
30,2008,0.0404729457447,0.000525794968951,0.00612308798884,0.0338240627869
30,2009,0.0374350069646,0.0019909572727,0.0036834897773,0.0317605599146
30,2010,0.0351288473635,0.00160012981879,0.0126260497305,0.0209026678143
