year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1948,0.0179626215805,0.0362044193899,0.023713999139,0.100161316373,0.339735581106,0.0421023180312,0.0364380636239,0.188639478772,0.0497798355116,0.0505800901255,0.013131045258,0.10155123109,590
1949,0.018135645642,0.0793452341379,0.0192359114726,0.0963581288025,0.302485082373,0.0448118994545,0.0362280717084,0.186443875449,0.0382786884229,0.0576424745275,0.00879328415589,0.112241703854,760
1950,0.0192376427909,0.0889136687553,0.0304163143714,0.0992073468607,0.305311078701,0.0304293497038,0.0429188990435,0.183414171692,0.0449935442693,0.043030321441,0.00957905994329,0.102548602428,740
1951,0.012890077673,0.0918854148654,0.0229455761156,0.0727641652067,0.287054505527,0.0222881506165,0.0541960300499,0.192789946887,0.0424468603735,0.0577808431451,0.00602345661862,0.136934972922,680
1952,0.0135829353586,0.0603013010973,0.0324656653849,0.0419508436793,0.316380158418,0.00822762006132,0.0695735866034,0.20702072809,0.0514406232754,0.0585899863007,0.00198845261123,0.13847809912,490
1953,0.0147314170063,0.0697554579053,0.0152590741256,0.0500090638385,0.243634343028,0.00630423757335,0.0848482694738,0.234771346082,0.0285853697832,0.0862015459386,0.00953858159346,0.156361293652,490
1954,0.0218203459048,0.0478111539064,0.011948873063,0.063429279665,0.288937511373,0.018612769972,0.0608420180882,0.221020189333,0.045261387085,0.0675928266281,0.00867911555048,0.144044529431,570
1955,0.0160979537611,0.0474803220132,0.0232448568071,0.0706097767391,0.295105071058,0.0200624098015,0.0767045806177,0.19815128733,0.0380643602289,0.0654865629382,0.0105316778255,0.13846114088,610
1956,0.0163794684233,0.0430347877406,0.0289334176585,0.062477770825,0.329527676428,0.0186367057287,0.0935475553438,0.176885592829,0.0421683414704,0.0568623081334,0.00327510599435,0.128271269426,610
1957,0.0264445621384,0.0624568515215,0.034220979841,0.0516567418063,0.338417125641,0.00528345496438,0.140890289368,0.159898975532,0.0414737774201,0.0393552560554,0.00365892649652,0.0962430592162,530
1958,0.0346410012982,0.0654171085033,0.0395315288369,0.0502438580664,0.332289529989,0.00406615745007,0.143400807083,0.150304430937,0.039930927973,0.036419996839,0.000953947656484,0.102800705368,530
1959,0.034524024134,0.0475931866596,0.0609133467131,0.0594923865229,0.345936884833,0.00809319526858,0.136026906485,0.140182020792,0.0377767649073,0.0228600287693,0.00127070570094,0.105330549214,480
1960,0.0137264328313,0.0438056966263,0.0661390525486,0.0682642806106,0.28721594832,0.00809875603124,0.198456387984,0.128394065952,0.0397019148048,0.0316562884554,0.000583799961803,0.113957375874,480
1961,0.00694461289569,0.0490524578037,0.0602990993444,0.0628541696625,0.262125907176,0.0282472037626,0.246370243823,0.111747896943,0.0422725416512,0.0315137711802,0.000608041853931,0.097964053905,520
1962,0.00808882646843,0.0621791064176,0.0442512066931,0.0561179003024,0.240828469491,0.0223398074016,0.28291424813,0.111456043344,0.0481165784946,0.0338784906957,0.00534843606747,0.0844808864936,580
1963,0.00969084008818,0.0569637894958,0.03542197047,0.0521913913923,0.279242234773,0.0372992342827,0.212596939317,0.143876352377,0.0452789897998,0.032400399757,0.00524465854944,0.0897931996982,780
1964,0.0112773087357,0.054623859225,0.0292019777398,0.0604254951427,0.285926967105,0.0237947198069,0.214866005063,0.141600128551,0.0465779725423,0.0353059970627,0.00540298543271,0.0909965835928,750
1965,0.0100096317384,0.0624818055428,0.0401135990299,0.0635189856167,0.272304296428,0.0256156518535,0.198709679721,0.151920022842,0.0428254136494,0.0335105123148,0.0016050283821,0.0973853728814,770
1966,0.0204521158618,0.079757868255,0.0479786659865,0.0567232620737,0.253965727541,0.0226894752521,0.23103346728,0.11836898542,0.0341027373042,0.0351258213635,0.00819564899477,0.0916062246678,630
1967,0.0172458234945,0.084501704195,0.042638077172,0.0599735307268,0.285396694603,0.0209672089951,0.21479871913,0.13015286478,0.0283239929792,0.0283942653862,0.0074768559956,0.0801302625424,710
1968,0.0156290931863,0.0603150676537,0.0296315374645,0.0634712228637,0.267999425743,0.0465766291429,0.253764110177,0.0969312252265,0.024528802224,0.0561416967518,0.00895031862836,0.0760608709382,810
1969,0.00864621251136,0.0504613753074,0.0301467724665,0.067573668933,0.228659838174,0.0435367428097,0.244655684075,0.108698720729,0.0331225347737,0.0848286917964,0.00864914200732,0.0910206164173,970
1970,0.00987092676121,0.0354503685967,0.0260607542485,0.0557318534108,0.227940805288,0.0505560737967,0.237827325923,0.120952875373,0.0377374698907,0.0905329441031,0.0112469383401,0.0960916642688,1100
1971,0.0158547142899,0.0367793773971,0.0314359155971,0.0446845057224,0.251983504512,0.040011370839,0.219079953988,0.128219683331,0.0408095706785,0.0862059700376,0.00969775624496,0.0952376773616,1090
1972,0.0176192860402,0.0320946506688,0.0315038384304,0.0472364682243,0.285716345477,0.0444940782686,0.237534435377,0.124881310233,0.0389836921635,0.0615200848211,0.00571012577922,0.0727056845179,1130
1973,0.0188174668579,0.0386902185606,0.0325696747884,0.0410542367578,0.265675689724,0.0491186839906,0.247291901909,0.125599172394,0.0401971010364,0.0654335485426,0.00233182419606,0.0732204812426,1030
1974,0.0209536302881,0.0416896077241,0.0307223566705,0.0409400658194,0.283107764454,0.0551556377101,0.215776682368,0.12908667631,0.0475668356769,0.0636926509092,0.00204426283343,0.0692638292363,1060
