source,target,scount,tcount,weight
Walter Rodrigues,,1,,0
John A. Ross,Oliver D. Finnigan,1,1,1
John Knodel,Visid Prachuabmoh,2,2,1
Dov Friedlander,,1,,0
N. Krishnan Namboodiri,,3,,0
Georges Sabagh,Maurice D. Van Arsdol Jr.,3,2,1
Edgar W. Butler,Maurice D. Van Arsdol Jr.,1,2,1
Edgar W. Butler,Georges Sabagh,1,3,1
James M. Beshers,,2,,0
C. Horace Hamilton,,4,,0
Larry D. Barnett,,1,,0
J. Mayone Stycos,,2,,0
John Fine,Norval D. Glenn,1,1,1
J. Kenneth Monts,John Fine,1,1,1
J. Kenneth Monts,Norval D. Glenn,1,1,1
Margaret E. Martin,,1,,0
Alden Speare Jr.,,1,,0
Peter Uhlenberg,,1,,0
Albert M. Marckwardt,,1,,0
J. E. Veevers,,1,,0
Robert C. Schmitt,,2,,0
Donald T. Rice,,1,,0
Paul C. Glick,Walt Saveland,4,1,1
K. C. Zachariah,,1,,0
Evelyn M. Kitagawa,,2,,0
Adriana Weininger,Glen G. Cain,1,1,1
James M. Sakoda,William J. Sakoda,2,1,1
J. Mayone Stycos,Robert H. Weller,2,5,1
Kenneth C. Land,,1,,0
A. M. Sardari,R. Keyhan,1,1,1
Robert G. Potter Jr.,,2,,0
Andrei Rogers,Burkhard von Rabenau,4,1,1
Peter A. Morrison,,2,,0
T. J. Woofter,,1,,0
Vivian Z. Klaff,,1,,0
Otis Dudley Duncan,Ronald Freedman,4,4,1
J. Michael Coble,Otis Dudley Duncan,1,4,1
Doris P. Slesinger,Otis Dudley Duncan,1,4,1
J. Michael Coble,Ronald Freedman,1,4,1
Doris P. Slesinger,Ronald Freedman,1,4,1
Doris P. Slesinger,J. Michael Coble,1,1,1
John Isbister,,1,,0
Robert C. Atchley,,1,,0
Monica Boyd,,1,,0
David M. Heer,,5,,0
George E. Immerwahr,,2,,0
Brendan M. Walsh,,1,,0
H. Majumdar,Mindel C. Sheps,1,4,1
Robert H. Weller,,5,,0
Yoram Ben-Porath,,1,,0
Surinder K. Mehta,,2,,0
Robert O. Grymes,Robert Parke Jr.,1,2,1
Robert Schoen,,1,,0
Gordon F. Sutton,,2,,0
Centro Latinoamericano de Demografia,,1,,0
Juan C. Elizaga,,1,,0
Bernard G. Greenberg,James R. Abernathy,1,1,1
Daniel G. Horvitz,James R. Abernathy,1,1,1
Bernard G. Greenberg,Daniel G. Horvitz,1,1,1
Charles Hirschman,Judah Matras,1,2,1
Gooloo S. Wunderlich,Gordon F. Sutton,1,2,1
Alan Kirschenbaum,,1,,0
Calvin Goldscheider,,2,,0
Leon F. Bouvier,Robert H. Weller,2,5,1
Maria Davidson,Wilson H. Grabill,2,2,1
Donald F. Heisel,,1,,0
A. Romaniuk,S. Mitra,2,3,1
Haitung King,John C. Bailar III,1,1,1
William B. Clifford,,1,,0
Donald S. Akers,,5,,0
Robert W. Hodge,,1,,0
John C. Caldwell,,2,,0
John Stoeckel,,2,,0
Kogalur G. Basavarajappa,,1,,0
Glenn V. Fuguitt,,3,,0
Edwin D. Driver,,2,,0
J. C. Barrett,,1,,0
Campbell Gibson,,1,,0
G. Carmen Arretx,Jorge L. Somoza,1,1,1
Edwin D. Driver,Hugh Loebner,2,1,1
Harry Levin,,1,,0
D. Y. Yuan,,1,,0
Donald S. Akers,Ellen Linna Jamison,5,1,1
Ismail Sirageldin,James N. Morgan,1,2,1
Massimo Livi Bacci,,1,,0
M. A. El-Badry,,2,,0
Donald E. Pursell,,2,,0
Phillips Cutright,,1,,0
Anibal Faundes-Latham,German Rodriguez-Galant,1,2,1
Anibal Faundes-Latham,Onofre Avendano-Portius,1,1,1
German Rodriguez-Galant,Onofre Avendano-Portius,2,1,1
David M. Heer,Dean O. Smith,5,2,2
Carl E. Ortmeyer,,1,,0
Donald W. Thomas,Glenn V. Fuguitt,1,3,1
Irene B. Taeuber,,1,,0
Robert G. Weisbord,,1,,0
Geraldine M. Spencer,,1,,0
John W. Prehn,,1,,0
Nancy Phillips,,1,,0
Andrei Rogers,,4,,0
Robert D. Retherford,,1,,0
Harriet B. Presser,Larry L. Bumpass,1,1,1
Anders S. Lunde,Robert D. Grove,1,1,1
Earl E. Huyck,,1,,0
Charles F. Westoff,Norman B. Ryder,3,2,1
Everett S. Lee,,1,,0
Harry M. Rosenberg,,1,,0
William J. Kelly,,1,,0
Mario Jaramillo-Gomez,,2,,0
R. N. Basu,,1,,0
Mercedes B. Concepciόn,Wilhelm Flieger,1,1,1
Karl E. Bauman,,2,,0
Julian L. Simon,,2,,0
Carl L. Harter,,1,,0
Mortimer Spiegelman,,3,,0
James A. Sweet,,2,,0
Yoshihiro Tsubouchi,,1,,0
James M. Sakoda,Robert G. Potter Jr.,2,2,1
Gavin Jones,Paul Gingrich,1,2,1
Mindel C. Sheps,,4,,0
Donald E. Starsinic,Meyer Zitter,1,2,1
K. B. Pathak,,1,,0
Stanley Kupinsky,,1,,0
James N. Morgan,,2,,0
James W. Brackett,,2,,0
J. Richard Udry,,3,,0
Thomas Poffenberger,,1,,0
Beryl J. Roberts,David Yaukey,2,1,1
Beryl J. Roberts,William Griffiths,2,2,2
Beryl J. Roberts,Elizabeth W. Clark,2,1,1
A. B. M. Shafiullah,Beryl J. Roberts,1,2,1
Beryl J. Roberts,Raiunnessa Huq,2,1,1
David Yaukey,William Griffiths,1,2,1
David Yaukey,Elizabeth W. Clark,1,1,1
A. B. M. Shafiullah,David Yaukey,1,1,1
David Yaukey,Raiunnessa Huq,1,1,1
Elizabeth W. Clark,William Griffiths,1,2,1
A. B. M. Shafiullah,William Griffiths,1,2,1
Raiunnessa Huq,William Griffiths,1,2,1
A. B. M. Shafiullah,Elizabeth W. Clark,1,1,1
Elizabeth W. Clark,Raiunnessa Huq,1,1,1
A. B. M. Shafiullah,Raiunnessa Huq,1,1,1
Barbara S. Janowitz,,2,,0
Nader Fergany,,1,,0
Kurt B. Mayer,,1,,0
Michael S. Teitelbaum,,1,,0
Hope T. Eldridge,,2,,0
H. T. Croley,Harold C. Gustafson,2,2,2
Harold C. Gustafson,William Griffiths,2,2,1
Beryl J. Roberts,Harold C. Gustafson,2,2,1
H. T. Croley,William Griffiths,2,2,1
Beryl J. Roberts,H. T. Croley,2,2,1
