source,target,scount,tcount,weight
Otis Dudley Duncan,,3,,0
Daniel H. Willick,,1,,0
John W. Meyer,,1,,0
Mayer N. Zald,,3,,0
Lee Braude,,1,,0
Phillip R. Kunz,,1,,0
Bernice L. Neugarten,Joan W. Moore,1,2,1
Bernice L. Neugarten,John C. Lowe,1,1,1
Joan W. Moore,John C. Lowe,2,1,1
Arnold S. Tannenbaum,Jerald G. Bachman,1,1,1
Jack Sawyer,,3,,0
Michael Hechter,,1,,0
Roberta G. Simmons,,1,,0
Johannes Pennings,,1,,0
Archibald O. Haller,David M. Lewis,3,1,1
Bryan R. Roberts,,1,,0
Parker G. Marden,,1,,0
Surinder K. Mehta,,1,,0
Frank G. Mittelbach,Joan W. Moore,1,2,1
James M. Fendrich,Leland J. Axelson,1,1,1
Frank Clemente,,1,,0
David R. Segal,Edward O. Laumann,2,2,1
Dean MacCannell,,1,,0
Brian J. L. Berry,Philip H. Rees,1,1,1
Saul D. Feldman,,1,,0
Dorrian Apple Sweetser,,2,,0
Joe L. Spaeth,,2,,0
N. B. Ryder,,1,,0
Diana Scully,Pauline Bart,1,1,1
Bonnie Bullough,,2,,0
David Wallace,,1,,0
Dean J. Champion,Michael F. Morris,1,1,1
N. J. Demerath III,Victor Thiessen,1,1,1
Paul D. Montagna,,1,,0
Vernon K. Dibble,,2,,0
Maurice Pinard,,1,,0
Donald W. Light Jr.,,1,,0
Charles S. Fisher,,1,,0
Walter R. Gove,,4,,0
Michael Armer,Robert Youtz,1,1,1
Dianne M. Timbers,Richard F. Curtis,1,1,1
Elton F. Jackson,Richard F. Curtis,1,1,1
Dianne M. Timbers,Elton F. Jackson,1,1,1
Albert D. Biderman,Laure M. Sharp,1,1,1
Wan Sang Han,,1,,0
James A. Palmore,Robert E. Klein,1,1,1
Ariffin bin Marzuki,James A. Palmore,1,1,1
Ariffin bin Marzuki,Robert E. Klein,1,1,1
Eldon L. Wegner,William H. Sewell,1,3,1
Joan Huber Rytina,William H. Form,1,2,1
Joan Huber Rytina,John Pease,1,1,1
John Pease,William H. Form,1,2,1
John H. Kunkel,,1,,0
Derek L. Phillips,Kevin J. Clancy,2,1,1
Jack Goody,,1,,0
Robert K. Merton,,1,,0
Frederick Elkin,,1,,0
Gosta Carlsson,,1,,0
Richard G. Braungart,,1,,0
Rae Lesser Blumberg,Robert F. Winch,1,1,1
Toby E. Huff,,1,,0
Tzuen-jen Lei,Warren D. TenHouten,1,1,1
Francoise Kendall,Warren D. TenHouten,1,1,1
C. Wayne Gordon,Warren D. TenHouten,1,1,1
Francoise Kendall,Tzuen-jen Lei,1,1,1
C. Wayne Gordon,Tzuen-jen Lei,1,1,1
C. Wayne Gordon,Francoise Kendall,1,1,1
William V. D'Antonio,,1,,0
Jack Sawyer,Robert F. Priest,3,1,1
Ian Weinberg,Kenneth N. Walker,1,1,1
Irving Tallman,Joel I. Nelson,1,2,1
Joan Acker,,1,,0
Bert N. Adams,Miles T. Meidam,1,1,1
Richard P. Boyle,,2,,0
Frank W. Young,Ruth C. Young,2,2,1
Vimal P. Shah,William H. Sewell,1,3,1
Clagett G. Smith,Oğuz N. Ari,1,1,1
Walter Korpi,,1,,0
H. Edward Ransford,,1,,0
Jessie Bernard,,2,,0
Claude S. Fischer,,1,,0
D. Weintraub,F. Bernstein,1,1,1
Seymour Spilerman,,1,,0
Donald J. Treiman,Robert W. Hodge,2,4,1
Wilbert E. Moore,,1,,0
